number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,totalCapital,pe,pb
128,2022-10-17,603939.SH,202.4661,215.7116,202.4661,208.6725,7267405.0,405147938.0,1.0113,39624140512.2,36.0832,4.9062
129,2022-10-14,603939.SH,189.5991,201.6335,187.3663,200.0062,6559962.0,344327142.0,0.9129,37978524230.5,34.5847,4.7025
130,2022-10-13,603939.SH,186.9122,194.1404,186.8743,189.4099,3101790.0,155657970.0,0.4316,35966416986.5,32.7524,4.4533
131,2022-10-12,603939.SH,184.3766,189.2585,180.8193,189.0314,2051449.0,100350003.0,0.2855,35894556013.5,32.6869,4.4444
132,2022-10-11,603939.SH,186.6851,189.1828,181.9167,186.0796,1942271.0,94841930.0,0.2703,35334040424.1,32.1765,4.375
133,2022-10-10,603939.SH,188.8801,194.8216,186.0039,186.6851,2546934.0,127590217.0,0.3544,35449017980.9,32.2812,4.3893
134,2022-09-30,603939.SH,186.3824,189.7883,184.4901,188.3124,3271116.0,162582537.0,0.4552,35758020164.8,32.5626,4.4275
135,2022-09-29,603939.SH,187.7069,192.059,184.8686,187.442,2514508.0,125176844.0,0.3499,35592739926.9,30.8737,4.5428
136,2022-09-28,603939.SH,188.4638,188.6152,183.1656,183.9225,2946053.0,144401026.0,0.41,34924432878.0,30.294,4.4575
137,2022-09-27,603939.SH,178.1323,187.7447,176.278,187.5177,4513624.0,219211737.0,0.6281,35607112121.5,30.8862,4.5446
138,2022-09-26,603939.SH,177.489,181.6518,175.0291,178.1702,3359723.0,158461360.0,0.4675,33832146088.4,29.3465,4.3181
139,2022-09-23,603939.SH,171.6231,179.0027,170.2986,177.5268,4848673.0,226433803.0,0.6747,33709982434.3,29.2406,4.3025
140,2022-09-22,603939.SH,174.6885,176.4293,168.4821,171.0933,4751653.0,214410276.0,0.6612,32488345893.3,28.1809,4.1465
141,2022-09-21,603939.SH,182.6736,183.0899,174.575,176.4293,2379378.0,111680099.0,0.3311,33501585612.6,29.0598,4.2759
142,2022-09-20,603939.SH,183.809,187.2149,180.5922,183.1278,2370069.0,114505747.0,0.3298,34773524834.7,30.1631,4.4382
143,2022-09-19,603939.SH,187.6312,189.2585,183.1656,185.2092,2891255.0,141628987.0,0.4023,35168760186.2,30.5059,4.4887
144,2022-09-16,603939.SH,195.0108,198.3789,184.6037,186.3824,4623663.0,230984617.0,0.6434,35391529202.5,30.6992,4.5171
145,2022-09-15,603939.SH,199.9684,205.0017,196.8273,197.3193,2626505.0,139299580.0,0.3655,37468311322.2,32.5006,4.7821
146,2022-09-14,603939.SH,191.9076,201.4443,191.1507,200.3468,3528010.0,184949021.0,0.4909,38043199106.2,32.9993,4.8555
147,2022-09-13,603939.SH,198.606,198.606,191.1129,195.5028,1493253.0,77209247.0,0.2078,37123378651.8,32.2014,4.7381
148,2022-09-09,603939.SH,194.1782,198.6817,194.1782,196.0705,1138334.0,59280467.0,0.1584,37231170111.3,32.2949,4.7519
149,2022-09-08,603939.SH,192.2482,195.9569,189.7883,194.1404,1278285.0,65130222.0,0.1779,36864679149.0,31.977,4.7051
150,2022-09-07,603939.SH,201.6714,202.4661,192.6266,193.1943,1726829.0,89217434.0,0.2403,36685026716.5,31.8212,4.6822
151,2022-09-06,603939.SH,198.1519,201.2551,195.6542,200.6874,1432794.0,75352843.0,0.1994,38107873981.9,33.0554,4.8638
152,2022-09-05,603939.SH,197.6599,199.4386,193.4592,196.2975,1776714.0,92019185.0,0.2472,37274286695.1,32.3323,4.7574
153,2022-09-02,603939.SH,201.52,205.0017,196.7895,197.8113,2389871.0,125802602.0,0.3326,37561730587.1,32.5816,4.7941
154,2022-09-01,603939.SH,202.9581,206.8939,200.9902,201.3308,1976690.0,106128930.0,0.2751,38230037636.0,33.1613,4.8794
155,2022-08-31,603939.SH,198.6817,205.0774,197.2058,202.0877,2948549.0,157544076.0,0.4103,38373759582.0,33.286,4.8977
156,2022-08-30,603939.SH,200.5739,203.9042,196.7895,199.1358,2437971.0,128439243.0,0.3393,37813243992.6,32.7998,4.8262
157,2022-08-29,603939.SH,195.3893,200.1198,193.9133,197.6221,1552158.0,80856596.0,0.216,37525800100.6,32.5505,4.7895
158,2022-08-26,603939.SH,191.0372,199.325,189.7505,197.2436,2418931.0,125946708.0,0.3366,37453939127.6,32.4881,4.7803
159,2022-08-25,603939.SH,188.6908,191.8698,187.1392,191.075,1116578.0,56137380.0,0.1554,36282605267.7,31.4721,4.6308
160,2022-08-24,603939.SH,191.6805,193.0808,187.3285,188.6908,1552923.0,77871448.0,0.2161,35829881137.8,31.0794,4.573
161,2022-08-23,603939.SH,196.2218,196.2597,189.2585,191.6805,1506300.0,76280986.0,0.2096,36397582824.5,31.5718,4.6455
162,2022-08-22,603939.SH,189.2207,198.114,185.5498,196.2597,3261850.0,166824135.0,0.4539,37267100597.8,32.3261,4.7565
163,2022-08-19,603939.SH,182.7493,192.9672,180.1381,189.864,3804189.0,190280851.0,0.5294,36052650154.1,31.2726,4.6015
164,2022-08-18,603939.SH,185.0957,185.0957,177.8674,181.6897,998699.0,47936882.0,0.139,34500453137.3,29.9262,4.4034
165,2022-08-17,603939.SH,182.6358,186.5337,180.9706,184.8307,1257616.0,61341964.0,0.175,35096899213.2,30.4436,4.4795
166,2022-08-16,603939.SH,180.1002,184.6794,180.1002,182.7493,1418013.0,68544866.0,0.1973,34701663861.7,30.1008,4.429
167,2022-08-15,603939.SH,182.5601,184.3009,180.1002,181.4248,1527951.0,73376602.0,0.2126,34450150456.2,29.8826,4.3969
168,2022-08-12,603939.SH,186.8743,187.2528,180.1759,181.8789,3238560.0,156136941.0,0.4507,34536383623.8,29.9574,4.4079
169,2022-08-11,603939.SH,189.9019,190.5074,182.7493,187.4041,3102746.0,152100560.0,0.4318,35585553829.6,30.8675,4.5418
170,2022-08-10,603939.SH,192.7023,193.6106,186.4959,187.934,2374276.0,118322040.0,0.3304,35686159191.8,30.9547,4.5547
171,2022-08-09,603939.SH,194.1026,195.2,190.5074,192.0968,1374847.0,69819502.0,0.1913,36476629894.8,31.6404,4.6556
172,2022-08-08,603939.SH,198.9844,200.3468,193.6106,193.7998,1533089.0,79075960.0,0.2133,36800004273.3,31.9209,4.6968
173,2022-08-05,603939.SH,192.8537,199.817,190.356,198.9844,2281293.0,118531839.0,0.3175,37784499603.4,32.7749,4.8225
174,2022-08-04,603939.SH,196.0326,200.4982,190.356,191.567,3042437.0,154553446.0,0.4234,36376024532.6,31.5531,4.6427
175,2022-08-03,603939.SH,199.7035,205.0395,194.9351,195.3136,2641981.0,138780201.0,0.3677,37087448165.3,32.1702,4.7335
176,2022-08-02,603939.SH,208.1427,209.0888,198.3033,198.8709,3302501.0,176046299.0,0.4596,37762941311.5,32.7562,4.8198
177,2022-08-01,603939.SH,196.0326,211.9271,194.1782,208.1427,5095290.0,278954764.0,0.709,39523535150.0,34.2833,5.0445
178,2022-07-29,603939.SH,201.7849,203.0716,195.6542,195.7677,1474882.0,77051708.0,0.2052,37173681332.9,32.245,4.7445
179,2022-07-28,603939.SH,200.2711,207.1966,198.0005,201.8984,2204276.0,118421894.0,0.3067,38337829095.5,33.2548,4.8931
180,2022-07-27,603939.SH,195.8434,203.0338,193.5349,200.5739,2037144.0,107116584.0,0.2835,38086315690.0,33.0367,4.861
181,2022-07-26,603939.SH,193.1565,197.2436,192.4374,195.6542,938083.0,48363962.0,0.1305,37152123041.0,32.2263,4.7418
182,2022-07-25,603939.SH,189.2964,195.9948,189.2964,194.1026,1719949.0,87948367.0,0.2393,36857493051.7,31.9708,4.7042
183,2022-07-22,603939.SH,201.3686,202.3904,192.3239,193.6106,1905067.0,98227677.0,0.2651,36764073786.8,31.8897,4.6923
184,2022-07-21,603939.SH,199.4007,203.9042,196.903,201.3686,1868378.0,99509725.0,0.26,38237223733.3,33.1676,4.8803
185,2022-07-20,603939.SH,193.6863,201.7849,190.7723,199.4007,2725591.0,142333894.0,0.3793,37863546673.7,32.8434,4.8326
